snomed_code,icd10_code,icd10_description
8801005,E08.3519,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye"
59276001,E08.3519,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye"
312912001,E08.3519,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye"
8801005,E08.352,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula
59276001,E08.352,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula
232010004,E08.352,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula
8801005,E08.3521,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye"
232010004,E08.3521,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye"
8801005,E08.3522,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"
232010004,E08.3522,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"
8801005,E08.3523,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"
232010004,E08.3523,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"
8801005,E08.3529,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye"
59276001,E08.3529,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye"
232010004,E08.3529,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye"
8801005,E08.353,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
59276001,E08.353,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
232023006,E08.353,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
8801005,E08.3531,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"
232023006,E08.3531,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"
8801005,E08.3532,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye"
232023006,E08.3532,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye"
8801005,E08.3533,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral"
232023006,E08.3533,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral"
8801005,E08.3539,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye"
59276001,E08.3539,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye"
232023006,E08.3539,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye"
8801005,E08.354,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
59276001,E08.354,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
232012007,E08.354,Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment
8801005,E08.3541,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye"
232012007,E08.3541,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye"
8801005,E08.3542,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye"
232012007,E08.3542,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye"
8801005,E08.3543,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral"
232012007,E08.3543,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral"
8801005,E08.3549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye"
59276001,E08.3549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye"
232012007,E08.3549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye"
8801005,E08.355,Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy
59276001,E08.355,Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy
8801005,E08.3551,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye"
8801005,E08.3552,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye"
8801005,E08.3553,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral"
8801005,E08.3559,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified eye"
59276001,E08.3559,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified eye"
8801005,E08.3591,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye"
8801005,E08.3592,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye"
8801005,E08.3593,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral"
8801005,E08.3599,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye"
59276001,E08.3599,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye"
8801005,E08.37,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment"
312912001,E08.37,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment"
370996005,E08.37,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment"
8801005,E08.37X1,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye"
370996005,E08.37X1,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye"
769217008,E08.37X1,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye"
8801005,E08.37X2,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye"
370996005,E08.37X2,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye"
769218003,E08.37X2,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye"
8801005,E08.37X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral"
370996005,E08.37X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral"
769217008,E08.37X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral"
769218003,E08.37X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral"
8801005,E08.37X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye"
312912001,E08.37X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye"
370996005,E08.37X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye"
312912001,E09.3211,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye"
5368009,E09.3211,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye"
368711000119106,E09.3211,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye"
312912001,E09.3212,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye"
5368009,E09.3212,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye"
368711000119106,E09.3212,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye"
312912001,E09.3213,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral"
5368009,E09.3213,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral"
368711000119106,E09.3213,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral"
312912001,E09.3219,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye"
5368009,E09.3219,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye"
368711000119106,E09.3219,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye"
312912001,E09.3291,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye"
368711000119106,E09.3291,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye"
5368009,E09.3292,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye"
368711000119106,E09.3292,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye"
5368009,E09.3293,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral"
368711000119106,E09.3293,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral"
5368009,E09.3299,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye"
368711000119106,E09.3299,"Drug or chemical induced diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye"
312912001,E09.3311,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye"
5368009,E09.3311,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye"
368741000119105,E09.3311,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye"
312912001,E09.3312,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye"
5368009,E09.3312,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye"
368741000119105,E09.3312,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye"
312912001,E09.3313,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral"
5368009,E09.3313,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral"
368741000119105,E09.3313,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral"
312912001,E09.3319,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye"
5368009,E09.3319,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye"
368741000119105,E09.3319,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye"
5368009,E09.3391,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye"
368741000119105,E09.3391,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye"
5368009,E09.3392,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye"
368741000119105,E09.3392,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye"
5368009,E09.3393,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral"
368741000119105,E09.3393,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral"
5368009,E09.3399,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye"
368741000119105,E09.3399,"Drug or chemical induced diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye"
5368009,E09.3411,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye"
399872003,E09.3411,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye"
5368009,E09.3412,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye"
399872003,E09.3412,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye"
5368009,E09.3413,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral"
399872003,E09.3413,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral"
5368009,E09.3419,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye"
399872003,E09.3419,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye"
5368009,E09.3491,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye"
399873008,E09.3491,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye"
5368009,E09.3492,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye"
399873008,E09.3492,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye"
5368009,E09.3493,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral"
399873008,E09.3493,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral"
5368009,E09.3499,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye"
399873008,E09.3499,"Drug or chemical induced diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye"
59276001,E09.3511,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye"
312912001,E09.3511,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye"
5368009,E09.3511,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye"
59276001,E09.3512,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye"
312912001,E09.3512,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye"
5368009,E09.3512,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye"
59276001,E09.3513,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral"
312912001,E09.3513,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral"
5368009,E09.3513,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral"
59276001,E09.3519,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye"
312912001,E09.3519,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye"
5368009,E09.3519,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye"
59276001,E09.352,Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula
5368009,E09.352,Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula
232010004,E09.352,Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula
59276001,E09.3521,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye"
5368009,E09.3521,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye"
232010004,E09.3521,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye"
59276001,E09.3522,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"
5368009,E09.3522,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"
232010004,E09.3522,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye"
59276001,E09.3523,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"
5368009,E09.3523,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"
232010004,E09.3523,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral"
59276001,E09.3529,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye"
5368009,E09.3529,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye"
232010004,E09.3529,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye"
59276001,E09.353,Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
5368009,E09.353,Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
232023006,E09.353,Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula
59276001,E09.3531,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"
5368009,E09.3531,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"
232023006,E09.3531,"Drug or chemical induced diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye"
